task,regime,split,difficulty,stress,tail,contact,embodiment,shortcut,horizon,scarcity,latency,alias,hazard
contact_insertion,rare_contact_tail,nominal_scaling,0.07,0.12,0.509312,0.48425,0.113357,0.20216,0.109348,0.238635,0.130832,0.111056,0.416
contact_insertion,rare_contact_tail,contact_tail_shift,0.07,0.56,0.936192,0.854122,0.130291,0.2156,0.170796,0.329969,0.158912,0.13816,0.592
contact_insertion,rare_contact_tail,embodiment_shift,0.07,0.6,0.722752,0.682553,0.207706,0.22456,0.177408,0.34439,0.167336,0.148016,0.608
contact_insertion,rare_contact_tail,shortcut_shift,0.07,0.56,0.716128,0.675108,0.137549,0.28952,0.169183,0.320355,0.158912,0.18744,0.592
contact_insertion,rare_contact_tail,recovery_scarcity,0.07,0.62,0.821744,0.764107,0.154483,0.238,0.19402,0.430917,0.178568,0.155408,0.616
contact_insertion,rare_contact_tail,cross_robot_morphology,0.07,0.66,0.780528,0.732636,0.212544,0.24248,0.185311,0.354004,0.212264,0.160336,0.632
contact_insertion,rare_contact_tail,heldout_exception_composition,0.07,0.74,0.899024,0.833141,0.185933,0.27384,0.199342,0.387653,0.21788,0.194832,0.664
contact_insertion,rare_contact_tail,combined_exception_stress,0.07,0.86,0.976304,0.902174,0.200448,0.28504,0.217567,0.421303,0.234728,0.204688,0.712
contact_insertion,occluded_precondition,nominal_scaling,0.07,0.12,0.254656,0.258267,0.113357,0.296624,0.135383,0.197491,0.15096,0.181728,0.3016
contact_insertion,occluded_precondition,contact_tail_shift,0.07,0.56,0.468096,0.455532,0.130291,0.32216,0.211461,0.273078,0.18336,0.22608,0.4292
contact_insertion,occluded_precondition,embodiment_shift,0.07,0.6,0.361376,0.364028,0.207706,0.339184,0.219648,0.285012,0.19308,0.242208,0.4408
contact_insertion,occluded_precondition,shortcut_shift,0.07,0.56,0.358064,0.360058,0.137549,0.462608,0.209464,0.265121,0.18336,0.30672,0.4292
contact_insertion,occluded_precondition,recovery_scarcity,0.07,0.62,0.410872,0.407524,0.154483,0.36472,0.240215,0.356621,0.20604,0.254304,0.4466
contact_insertion,occluded_precondition,cross_robot_morphology,0.07,0.66,0.390264,0.390739,0.212544,0.373232,0.229432,0.292969,0.24492,0.262368,0.4582
contact_insertion,occluded_precondition,heldout_exception_composition,0.07,0.74,0.449512,0.444342,0.185933,0.432816,0.246804,0.320817,0.2514,0.318816,0.4814
