stress_level,method,task,regime,seed,episodes,success,rare_failure_recall,contact_boundary_error,unsafe_commitment,overtrust_rate,recovery_success,tail_risk_rate,calibration_ece,intervention_cost,average_scaling_gain,boundary_risk_slope,scale_exception_gap,boundary_coverage,shortcut_reliance,morphology_transfer_gap,recoverability_deficit,regret_to_oracle,utility
0.08,large_behavior_clone,contact_insertion,rare_contact_tail,0,6,0.5,0.0,0.166667,0.166667,0.0,0.5,0.333333,0.166667,0.0,0.666667,0.0,0.333333,0.166667,0.0,0.166667,0.0,0.0,0.460833
0.08,large_behavior_clone,contact_insertion,rare_contact_tail,1,6,0.166667,0.166667,0.833333,0.0,0.0,0.0,0.166667,0.333333,0.5,0.0,0.0,0.333333,0.333333,0.0,0.0,0.166667,0.0,0.135
0.08,large_behavior_clone,contact_insertion,rare_contact_tail,2,6,0.333333,0.666667,0.5,0.0,0.333333,0.166667,0.0,0.5,0.0,0.333333,0.333333,0.166667,0.5,0.5,0.0,0.0,0.0,0.400833
0.08,large_behavior_clone,contact_insertion,rare_contact_tail,3,6,0.333333,0.333333,0.166667,0.166667,0.333333,0.166667,0.333333,0.166667,0.0,0.166667,0.833333,0.5,0.0,0.166667,0.0,0.166667,0.0,0.241667
0.08,large_behavior_clone,contact_insertion,rare_contact_tail,4,6,0.5,0.666667,0.333333,0.0,0.0,0.333333,0.0,0.166667,0.166667,0.333333,0.5,0.5,0.333333,0.0,0.0,0.0,0.0,0.568333
0.08,large_behavior_clone,contact_insertion,rare_contact_tail,5,6,0.333333,0.166667,0.166667,0.166667,0.166667,0.666667,0.166667,0.166667,0.166667,0.666667,0.166667,0.833333,0.0,0.166667,0.0,0.166667,0.0,0.259167
0.08,large_behavior_clone,contact_insertion,rare_contact_tail,6,6,0.5,0.5,0.333333,0.333333,0.166667,0.5,0.666667,0.333333,0.166667,0.166667,0.333333,0.166667,0.833333,0.333333,0.333333,0.0,0.0,0.4875
0.08,large_behavior_clone,contact_insertion,rare_contact_tail,7,6,0.666667,0.333333,0.333333,0.0,0.0,0.166667,0.166667,0.333333,0.0,0.166667,0.5,0.5,0.5,0.333333,0.0,0.0,0.0,0.693333
0.08,large_behavior_clone,contact_insertion,rare_contact_tail,8,6,0.333333,0.333333,0.166667,0.0,0.0,0.333333,0.0,0.0,0.333333,0.333333,0.333333,0.666667,0.5,0.5,0.0,0.0,0.0,0.355833
0.08,large_behavior_clone,contact_insertion,rare_contact_tail,9,6,0.666667,0.333333,0.666667,0.333333,0.666667,0.5,0.5,0.166667,0.333333,0.5,0.666667,0.333333,0.5,0.5,0.0,0.0,0.0,0.548333
0.08,large_behavior_clone,contact_insertion,occluded_precondition,0,6,0.166667,0.0,0.166667,0.0,0.0,0.0,0.0,0.333333,0.0,0.666667,0.5,0.333333,0.5,0.166667,0.166667,0.333333,0.0,0.1775
0.08,large_behavior_clone,contact_insertion,occluded_precondition,1,6,0.833333,0.166667,0.166667,0.0,0.166667,0.666667,0.333333,0.166667,0.166667,0.333333,0.166667,0.166667,0.0,0.333333,0.0,0.0,0.0,0.82
0.08,large_behavior_clone,contact_insertion,occluded_precondition,2,6,0.5,0.333333,0.333333,0.166667,0.333333,0.333333,0.0,0.333333,0.166667,0.5,0.0,0.5,0.333333,0.5,0.166667,0.333333,0.0,0.47
0.08,large_behavior_clone,contact_insertion,occluded_precondition,3,6,0.5,0.333333,0.166667,0.0,0.166667,0.333333,0.0,0.333333,0.0,0.5,0.5,0.833333,0.5,0.5,0.333333,0.0,0.0,0.51
0.08,large_behavior_clone,contact_insertion,occluded_precondition,4,6,1.0,0.333333,0.333333,0.0,0.0,0.333333,0.166667,0.166667,0.0,0.333333,0.166667,0.333333,0.166667,0.333333,0.0,0.166667,0.0,1.0
