method,split,task,regime,seed,episodes,success,rare_failure_recall,contact_boundary_error,unsafe_commitment,overtrust_rate,recovery_success,tail_risk_rate,calibration_ece,intervention_cost,average_scaling_gain,boundary_risk_slope,scale_exception_gap,boundary_coverage,shortcut_reliance,morphology_transfer_gap,recoverability_deficit,regret_to_oracle,utility
small_behavior_clone,nominal_scaling,contact_insertion,rare_contact_tail,0,6,0.333333,0.166667,0.333333,0.333333,0.333333,0.333333,0.0,0.166667,0.0,0.166667,0.5,0.0,0.5,0.0,0.0,0.333333,0.5,0.305833
small_behavior_clone,nominal_scaling,contact_insertion,rare_contact_tail,1,6,0.166667,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.166667,0.166667,0.0,0.166667,0.0,0.166667,0.833333,0.1475
small_behavior_clone,nominal_scaling,contact_insertion,rare_contact_tail,2,6,0.333333,0.333333,0.0,0.0,0.166667,0.166667,0.333333,0.0,0.166667,0.0,0.166667,0.166667,0.333333,0.0,0.333333,0.0,0.333333,0.315833
small_behavior_clone,nominal_scaling,contact_insertion,rare_contact_tail,3,6,0.166667,0.5,0.166667,0.166667,0.333333,0.333333,0.166667,0.333333,0.166667,0.0,0.166667,0.166667,0.666667,0.166667,0.0,0.0,0.833333,0.159167
small_behavior_clone,nominal_scaling,contact_insertion,rare_contact_tail,4,6,0.166667,0.166667,0.333333,0.166667,0.166667,0.333333,0.0,0.166667,0.166667,0.0,0.166667,0.0,0.166667,0.166667,0.166667,0.166667,0.666667,0.1425
small_behavior_clone,nominal_scaling,contact_insertion,rare_contact_tail,5,6,0.333333,0.0,0.5,0.166667,0.0,0.0,0.166667,0.0,0.166667,0.166667,0.166667,0.0,0.166667,0.0,0.0,0.0,0.5,0.275833
small_behavior_clone,nominal_scaling,contact_insertion,rare_contact_tail,6,6,0.5,0.166667,0.166667,0.333333,0.0,0.5,0.0,0.333333,0.0,0.0,0.333333,0.0,0.166667,0.166667,0.0,0.0,0.5,0.4975
small_behavior_clone,nominal_scaling,contact_insertion,rare_contact_tail,7,6,0.333333,0.5,0.333333,0.0,0.333333,0.166667,0.166667,0.0,0.333333,0.0,0.333333,0.0,0.166667,0.166667,0.0,0.333333,0.666667,0.310833
small_behavior_clone,nominal_scaling,contact_insertion,rare_contact_tail,8,6,0.333333,0.166667,0.333333,0.0,0.0,0.333333,0.166667,0.0,0.166667,0.333333,0.166667,0.166667,0.0,0.0,0.166667,0.0,0.666667,0.31
small_behavior_clone,nominal_scaling,contact_insertion,rare_contact_tail,9,6,0.333333,0.0,0.166667,0.166667,0.0,0.333333,0.5,0.166667,0.333333,0.166667,0.0,0.166667,0.666667,0.0,0.0,0.0,0.666667,0.2725
small_behavior_clone,nominal_scaling,contact_insertion,occluded_precondition,0,6,0.666667,0.166667,0.166667,0.0,0.0,0.333333,0.166667,0.0,0.166667,0.0,0.0,0.0,0.333333,0.166667,0.0,0.333333,0.333333,0.693333
small_behavior_clone,nominal_scaling,contact_insertion,occluded_precondition,1,6,0.166667,0.166667,0.166667,0.0,0.166667,0.333333,0.0,0.166667,0.0,0.0,0.333333,0.166667,0.333333,0.166667,0.333333,0.333333,0.666667,0.176667
small_behavior_clone,nominal_scaling,contact_insertion,occluded_precondition,2,6,0.666667,0.333333,0.166667,0.333333,0.0,0.5,0.333333,0.166667,0.0,0.0,0.5,0.166667,0.333333,0.0,0.166667,0.166667,0.166667,0.6575
small_behavior_clone,nominal_scaling,contact_insertion,occluded_precondition,3,6,0.333333,0.0,0.5,0.166667,0.0,0.666667,0.0,0.0,0.166667,0.166667,0.666667,0.333333,0.0,0.166667,0.166667,0.5,0.666667,0.295
small_behavior_clone,nominal_scaling,contact_insertion,occluded_precondition,4,6,0.5,0.166667,0.333333,0.166667,0.0,0.0,0.166667,0.166667,0.0,0.5,0.166667,0.166667,0.666667,0.0,0.166667,0.0,0.333333,0.5
small_behavior_clone,nominal_scaling,contact_insertion,occluded_precondition,5,6,0.5,0.333333,0.5,0.0,0.166667,0.166667,0.333333,0.0,0.0,0.333333,0.166667,0.0,0.166667,0.0,0.0,0.0,0.5,0.4875
small_behavior_clone,nominal_scaling,contact_insertion,occluded_precondition,6,6,0.333333,0.0,0.166667,0.166667,0.166667,0.166667,0.0,0.333333,0.333333,0.0,0.833333,0.0,0.0,0.166667,0.0,0.166667,0.5,0.263333
small_behavior_clone,nominal_scaling,contact_insertion,occluded_precondition,7,6,0.333333,0.166667,0.166667,0.0,0.0,0.166667,0.0,0.166667,0.0,0.0,0.333333,0.0,0.333333,0.333333,0.166667,0.0,0.5,0.37
small_behavior_clone,nominal_scaling,contact_insertion,occluded_precondition,8,6,0.5,0.166667,0.5,0.0,0.166667,0.666667,0.0,0.333333,0.166667,0.166667,0.333333,0.166667,0.333333,0.0,0.0,0.0,0.166667,0.540833
small_behavior_clone,nominal_scaling,contact_insertion,occluded_precondition,9,6,0.333333,0.333333,0.166667,0.166667,0.0,0.333333,0.0,0.0,0.166667,0.166667,0.333333,0.166667,0.166667,0.0,0.0,0.0,0.666667,0.3325
small_behavior_clone,nominal_scaling,contact_insertion,embodiment_mismatch,0,6,0.5,0.333333,0.0,0.333333,0.333333,0.333333,0.166667,0.166667,0.0,0.0,0.166667,0.0,0.166667,0.0,0.0,0.166667,0.5,0.4475
small_behavior_clone,nominal_scaling,contact_insertion,embodiment_mismatch,1,6,0.166667,0.166667,0.166667,0.166667,0.166667,0.0,0.0,0.166667,0.166667,0.333333,0.0,0.0,0.5,0.166667,0.0,0.166667,0.666667,0.144167
small_behavior_clone,nominal_scaling,contact_insertion,embodiment_mismatch,2,6,0.666667,0.166667,0.166667,0.0,0.166667,0.166667,0.0,0.166667,0.333333,0.0,0.0,0.333333,0.0,0.0,0.0,0.333333,0.333333,0.618333
small_behavior_clone,nominal_scaling,contact_insertion,embodiment_mismatch,3,6,0.166667,0.166667,0.166667,0.0,0.0,0.166667,0.0,0.0,0.166667,0.166667,0.166667,0.333333,0.166667,0.333333,0.166667,0.166667,0.666667,0.148333
small_behavior_clone,nominal_scaling,contact_insertion,embodiment_mismatch,4,6,0.166667,0.333333,0.166667,0.166667,0.0,0.5,0.0,0.0,0.0,0.333333,0.0,0.5,0.166667,0.333333,0.0,0.166667,0.833333,0.155
small_behavior_clone,nominal_scaling,contact_insertion,embodiment_mismatch,5,6,0.166667,0.166667,0.5,0.166667,0.166667,0.166667,0.166667,0.0,0.333333,0.166667,0.333333,0.0,0.166667,0.166667,0.0,0.166667,0.5,0.109167
small_behavior_clone,nominal_scaling,contact_insertion,embodiment_mismatch,6,6,0.666667,0.5,0.166667,0.333333,0.0,0.333333,0.0,0.166667,0.333333,0.166667,0.333333,0.166667,0.166667,0.333333,0.0,0.166667,0.333333,0.66
small_behavior_clone,nominal_scaling,contact_insertion,embodiment_mismatch,7,6,0.333333,0.166667,0.5,0.166667,0.166667,0.0,0.0,0.0,0.333333,0.0,0.333333,0.166667,0.166667,0.166667,0.166667,0.333333,0.666667,0.2625
small_behavior_clone,nominal_scaling,contact_insertion,embodiment_mismatch,8,6,0.166667,0.166667,0.5,0.0,0.333333,0.166667,0.0,0.166667,0.166667,0.333333,0.5,0.333333,0.333333,0.166667,0.166667,0.0,0.833333,0.116667
small_behavior_clone,nominal_scaling,contact_insertion,embodiment_mismatch,9,6,0.333333,0.333333,0.666667,0.166667,0.166667,0.5,0.5,0.166667,0.0,0.0,0.333333,0.166667,0.166667,0.166667,0.0,0.0,0.5,0.288333
small_behavior_clone,nominal_scaling,contact_insertion,long_horizon_compounding,0,6,0.166667,0.333333,0.333333,0.166667,0.0,0.166667,0.166667,0.0,0.166667,0.166667,0.333333,0.0,0.166667,0.166667,0.0,0.166667,0.333333,0.161667
small_behavior_clone,nominal_scaling,contact_insertion,long_horizon_compounding,1,6,0.0,0.5,0.333333,0.0,0.333333,0.333333,0.333333,0.0,0.0,0.0,0.0,0.166667,0.166667,0.0,0.0,0.166667,1.0,0.0
small_behavior_clone,nominal_scaling,contact_insertion,long_horizon_compounding,2,6,0.5,0.333333,0.5,0.166667,0.166667,0.0,0.0,0.0,0.333333,0.166667,0.5,0.166667,0.0,0.166667,0.166667,0.166667,0.5,0.44
small_behavior_clone,nominal_scaling,contact_insertion,long_horizon_compounding,3,6,0.333333,0.0,0.0,0.166667,0.166667,0.166667,0.166667,0.0,0.333333,0.0,0.5,0.166667,0.166667,0.0,0.0,0.166667,0.666667,0.239167
small_behavior_clone,nominal_scaling,contact_insertion,long_horizon_compounding,4,6,0.833333,0.5,0.166667,0.0,0.333333,0.333333,0.0,0.166667,0.333333,0.166667,0.166667,0.166667,0.5,0.0,0.166667,0.166667,0.0,0.875
small_behavior_clone,nominal_scaling,contact_insertion,long_horizon_compounding,5,6,0.5,0.0,0.333333,0.0,0.0,0.166667,0.0,0.666667,0.166667,0.0,0.5,0.0,0.333333,0.0,0.0,0.166667,0.333333,0.515
small_behavior_clone,nominal_scaling,contact_insertion,long_horizon_compounding,6,6,0.166667,0.0,0.0,0.166667,0.0,0.0,0.166667,0.333333,0.166667,0.0,0.166667,0.166667,0.333333,0.166667,0.0,0.0,0.5,0.108333
small_behavior_clone,nominal_scaling,contact_insertion,long_horizon_compounding,7,6,0.333333,0.5,0.166667,0.333333,0.166667,0.5,0.0,0.333333,0.0,0.0,0.333333,0.166667,0.0,0.166667,0.0,0.0,0.5,0.320833
small_behavior_clone,nominal_scaling,contact_insertion,long_horizon_compounding,8,6,0.666667,0.0,0.333333,0.166667,0.166667,0.166667,0.0,0.0,0.0,0.0,0.5,0.166667,0.0,0.0,0.0,0.0,0.333333,0.609167
small_behavior_clone,nominal_scaling,contact_insertion,long_horizon_compounding,9,6,0.5,0.166667,0.5,0.5,0.166667,0.0,0.0,0.0,0.333333,0.5,0.0,0.333333,0.166667,0.0,0.0,0.0,0.333333,0.3775
small_behavior_clone,nominal_scaling,contact_insertion,spurious_visual_shortcut,0,6,0.333333,0.333333,0.5,0.166667,0.0,0.333333,0.0,0.333333,0.166667,0.0,0.166667,0.0,0.0,0.0,0.0,0.166667,0.333333,0.345
small_behavior_clone,nominal_scaling,contact_insertion,spurious_visual_shortcut,1,6,0.166667,0.166667,0.166667,0.333333,0.0,0.166667,0.0,0.0,0.0,0.166667,0.5,0.0,0.333333,0.166667,0.166667,0.166667,0.5,0.153333
small_behavior_clone,nominal_scaling,contact_insertion,spurious_visual_shortcut,2,6,0.333333,0.333333,0.333333,0.166667,0.166667,0.333333,0.166667,0.0,0.333333,0.0,0.0,0.0,0.5,0.333333,0.166667,0.166667,0.666667,0.324167
small_behavior_clone,nominal_scaling,contact_insertion,spurious_visual_shortcut,3,6,0.166667,0.333333,0.333333,0.0,0.166667,0.5,0.166667,0.0,0.0,0.166667,0.0,0.5,0.333333,0.166667,0.166667,0.166667,0.833333,0.155833
small_behavior_clone,nominal_scaling,contact_insertion,spurious_visual_shortcut,4,6,0.666667,0.333333,0.166667,0.0,0.0,0.166667,0.333333,0.166667,0.166667,0.0,0.0,0.0,0.333333,0.166667,0.0,0.0,0.166667,0.6875
small_behavior_clone,nominal_scaling,contact_insertion,spurious_visual_shortcut,5,6,0.333333,0.333333,0.166667,0.0,0.0,0.166667,0.166667,0.0,0.0,0.333333,0.166667,0.333333,0.666667,0.0,0.0,0.5,0.5,0.368333
